,Annualized mean,Annualized std. dev.,Sharpe ratio,Max drawdown,Diversification metric
RobustOptimizationPortfolio,1.8503239577343904,0.8681254809634755,2.131401506244048,-0.2207952570999132,0.37796444140998897
RobustOptimizationPortfolio_10,1.2656207933926087,0.6918068100280588,1.8294425192797348,-0.20328596568061452,0.2556722004293587
RobustOptimizationPortfolio_1000,0.980550990755006,0.6923131659216563,1.4163402330354748,-0.25575745211464496,0.014353708207209163
