,Annualized mean,Annualized std. dev.,Sharpe ratio,Max drawdown,Diversification metric
RobustOptimizationPortfolio,1.8503240958416725,0.8681255185290832,2.131401573100612,-0.2207952582121494,0.37796446235304326
RobustOptimizationPortfolio_10,1.3122114880919364,0.6368591304331287,2.0604422946711933,-0.20168033630295468,0.2567245527225155
RobustOptimizationPortfolio_1000,0.9488068741516775,0.6807457272625541,1.3937757317509185,-0.25368474101107585,0.0072726096877114565
