,Annualized mean,Annualized std. dev.,Sharpe ratio,Sortino ratio,Max drawdown,Diversification metric
EqualWeightedPortfolio,0.9928198962150975,0.6960666452535305,1.4263287904759172,1.8543768026110259,-0.2571150098394078,0.013542241562923446
MinimumVariancePortfolio,0.8127211000838948,0.639670217718498,1.2705314044205696,1.6702903659359531,-0.2207716913160379,0.21346108641293113
RobustOptimizationPortfolio,1.850323918958409,0.8681254767131306,2.1314014720130636,2.97890831145285,-0.22079525912759235,0.37796443966836357
